X,Y,X_inner,Y_inner,X_outter,Y_outter
0,0,3.06161699786838e-17,-0.5,3.06161699786838e-17,0.5
0.1,0,0.1,-0.5,0.1,0.5
0.2,0,0.2,-0.5,0.2,0.5
0.3,0,0.3,-0.5,0.3,0.5
0.4,0,0.4,-0.5,0.4,0.5
0.5,0,0.5,-0.5,0.5,0.5
0.6,0,0.6,-0.5,0.6,0.5
0.7,0,0.7,-0.5,0.7,0.5
0.8,0,0.8,-0.5,0.8,0.5
0.9,0,0.9,-0.5,0.9,0.5
1,0,1,-0.5,1,0.5
1.1,0,1.1,-0.5,1.1,0.5
1.2,0,1.2,-0.5,1.2,0.5
1.3,0,1.3,-0.5,1.3,0.5
1.4,0,1.4,-0.5,1.4,0.5
1.5,0,1.5,-0.5,1.5,0.5
1.6,0,1.6,-0.5,1.6,0.5
1.7,0,1.7,-0.5,1.7,0.5
1.8,0,1.8,-0.5,1.8,0.5
1.9,0,1.9,-0.5,1.9,0.5
2,0,2,-0.5,2,0.5
2.1,0,2.1,-0.5,2.1,0.5
2.2,0,2.2,-0.5,2.2,0.5
2.3,0,2.3,-0.5,2.3,0.5
2.4,0,2.4,-0.5,2.4,0.5
2.5,0,2.5,-0.5,2.5,0.5
2.6,0,2.6,-0.5,2.6,0.5
2.7,0,2.7,-0.5,2.7,0.5
2.8,0,2.8,-0.5,2.8,0.5
2.9,0,2.9,-0.5,2.9,0.5
3,0,3,-0.5,3,0.5
3.1,0,3.1,-0.5,3.1,0.5
3.2,0,3.2,-0.5,3.2,0.5
3.3,0,3.3,-0.5,3.3,0.5
3.4,0,3.4,-0.5,3.4,0.5
3.5,0,3.5,-0.5,3.5,0.5
3.6,0,3.6,-0.5,3.6,0.5
3.7,0,3.7,-0.5,3.7,0.5
3.8,0,3.8,-0.5,3.8,0.5
3.9,0,3.9,-0.5,3.9,0.5
4,0,4,-0.5,4,0.5
4.1,0,4.1,-0.5,4.1,0.5
4.2,0,4.2,-0.5,4.2,0.5
4.3,0,4.3,-0.5,4.3,0.5
4.4,0,4.4,-0.5,4.4,0.5
4.5,0,4.5,-0.5,4.5,0.5
4.6,0,4.6,-0.5,4.6,0.5
4.7,0,4.7,-0.5,4.7,0.5
4.8,0,4.8,-0.5,4.8,0.5
4.9,0,4.9,-0.5,4.9,0.5
5,0,5,-0.5,5,0.5
5.1,0,5.1,-0.5,5.1,0.5
5.2,0,5.2,-0.5,5.2,0.5
5.3,0,5.3,-0.5,5.3,0.5
5.4,0,5.4,-0.5,5.4,0.5
5.5,0,5.5,-0.5,5.5,0.5
5.6,0,5.6,-0.5,5.6,0.5
5.7,0,5.7,-0.5,5.7,0.5
5.8,0,5.8,-0.5,5.8,0.5
5.9,0,5.9,-0.5,5.9,0.5
6,0,6,-0.5,6,0.5
6.1,0,6.1,-0.5,6.1,0.5
6.2,0,6.2,-0.5,6.2,0.5
6.3,0,6.3,-0.5,6.3,0.5
6.4,0,6.4,-0.5,6.4,0.5
6.5,0,6.5,-0.5,6.5,0.5
6.6,0,6.6,-0.5,6.6,0.5
6.7,0,6.7,-0.5,6.7,0.5
6.8,0,6.8,-0.5,6.8,0.5
6.9,0,6.9,-0.5,6.9,0.5
7,0,7,-0.5,7,0.5
7.09999784123983,-0.000304951049412878,7.08938024149429,-0.500192204913365,7.11061544098537,0.499582302814539
7.19980573471258,-0.00612120681918554,7.15228728036177,-0.503858081579444,7.2473241890634,0.491615667941073
7.29891120968598,-0.0192950164787174,7.21475159805457,-0.512161286140226,7.38307082131738,0.473571253182791
7.39677263602782,-0.0397543826709565,7.27643181528301,-0.52505644001511,7.51711345677262,0.445547674673197
7.49285518256656,-0.0673874910968613,7.33699083801451,-0.542473068753519,7.64871952711861,0.407698086559796
7.58663374004465,-0.102043321601656,7.39609769975607,-0.564315987191077,7.77716978033322,0.360229343987766
7.67759579093973,-0.143532473528486,7.45342937034868,-0.590465819654502,7.90176221153078,0.303400872597531
7.76524421046971,-0.191628200828773,7.50867252138814,-0.6207796523722,8.02181589955128,0.237523250714654
7.84909998347353,-0.246067651272177,7.56152523862392,-0.655091814525009,8.13667472832315,0.162956511980656
7.92870482231945,-0.306553302983661,7.61169867197753,-0.693214783668506,8.24571097266137,0.0801081777011831
8.0036236715335,-0.372754590456718,7.65891861416278,-0.734940210578569,8.34832872890422,-0.0105689703348667
8.07344708545978,-0.444309711156268,7.70292699928033,-0.780040057919226,8.44396717163922,-0.10857936439331
8.13779346595827,-0.520827602837826,7.74348331319658,-0.828267846509749,8.53210361871996,-0.213387359165904
8.19631114791073,-0.601890080776504,7.78036590799879,-0.879360002379912,8.61225638782266,-0.324420159173095
8.24868032113693,-0.68705412322548,7.81337321334281,-0.933037297251504,8.68398742893106,-0.441070949199457
8.29461477821772,-0.775854292613499,7.84232483807304,-0.989006374573588,8.7469047183624,-0.562702210653411
