time,pos_x,pos_y
0.0479684,0 , -1,
0.0190363,0.00441405 , -1,
0.0195894,0.00963431 , -1,
0.0197469,0.0156502 , -1,
0.0197024,0.02251 , -1.00001,
0.0191484,0.0303824 , -1.00003,
0.019523,0.0394628 , -1.00007,
0.0174254,0.0498167 , -1.00014,
0.0182143,0.0614511 , -1.00025,
0.0161486,0.0743658 , -1.00042,
0.0174474,0.0885597 , -1.00066,
0.0162031,0.104032 , -1.00099,
0.0196823,0.120781 , -1.00143,
0.0174331,0.138804 , -1.002,
0.0179367,0.1581 , -1.00274,
0.0169129,0.178665 , -1.00367,
0.0188172,0.200496 , -1.0048,
0.0189396,0.223589 , -1.00618,
0.0202376,0.24794 , -1.00783,
0.0184186,0.273544 , -1.00976,
0.0193589,0.300397 , -1.01201,
0.0167915,0.328494 , -1.01459,
0.0195766,0.357831 , -1.01752,
0.0183221,0.388404 , -1.0208,
0.0188801,0.420211 , -1.02445,
0.018086,0.45325 , -1.02846,
0.0182216,0.487522 , -1.03282,
0.0218726,0.523028 , -1.03752,
0.0184822,0.559771 , -1.04252,
0.0191947,0.597755 , -1.04778,
0.0184253,0.636964 , -1.05326,
0.017914,0.677376 , -1.05888,
0.0174782,0.718969 , -1.06457,
0.0160758,0.761719 , -1.07023,
0.019159,0.805604 , -1.07576,
0.0191756,0.850592 , -1.08105,
0.0161531,0.89664 , -1.08597,
0.0194547,0.943702 , -1.09037,
0.01797,0.991727 , -1.09409,
0.0183707,1.04066 , -1.09696,
0.0173072,1.09043 , -1.0988,
0.0188395,1.14094 , -1.09941,
0.0184165,1.1921 , -1.0986,
0.0210343,1.24377 , -1.09619,
0.0159762,1.2958 , -1.092,
0.0184671,1.34803 , -1.08585,
0.0151918,1.40026 , -1.07761,
0.0187542,1.45232 , -1.06717,
0.0172732,1.504 , -1.05444,
0.0193371,1.55511 , -1.03935,
0.0177572,1.60544 , -1.02189,
0.0169264,1.65482 , -1.00204,
0.017074,1.70307 , -0.979835,
0.0171863,1.75001 , -0.955314,
0.0170027,1.79551 , -0.928544,
0.0176623,1.83941 , -0.899602,
0.0184317,1.88162 , -0.868573,
0.0199215,1.92206 , -0.835541,
0.0176128,1.96067 , -0.80059,
0.018724,1.99742 , -0.763798,
0.0189905,2.0323 , -0.725239,
0.0210043,2.06534 , -0.684979,
0.0171842,2.09655 , -0.643086,
0.0181263,2.12598 , -0.599649,
0.0173407,2.15368 , -0.554776,
0.019533,2.17971 , -0.508581,
0.0173365,2.20412 , -0.461184,
0.0195181,2.22702 , -0.412696,
0.0177509,2.24848 , -0.363242,
0.0180542,2.2686 , -0.312959,
0.0168619,2.28746 , -0.261994,
0.0205136,2.30515 , -0.210491,
0.0186627,2.32172 , -0.158596,
0.0169675,2.33722 , -0.106449,
0.0175031,2.35165 , -0.0541851,
0.0179178,2.36495 , -0.00193236,
0.0169958,2.37706 , 0.0501831,
0.0195377,2.38782 , 0.102033,
0.0169224,2.39706 , 0.153478,
0.0179246,2.40458 , 0.204363,
0.0169855,2.41017 , 0.254508,
0.0169537,2.41364 , 0.303716,
0.0163748,2.41484 , 0.351774,
0.0200173,2.4137 , 0.398455,
0.0169491,2.41019 , 0.443531,
0.0178473,2.40434 , 0.486772,
0.0184182,2.39622 , 0.527955,
0.017724,2.38596 , 0.566871,
0.0165762,2.37371 , 0.603334,
0.0184495,2.35963 , 0.637179,
0.0161614,2.34393 , 0.668271,
0.0172955,2.32682 , 0.696506,
0.0167587,2.30852 , 0.72181,
0.0164186,2.28927 , 0.744152,
0.017231,2.26925 , 0.763566,
0.0172185,2.2486 , 0.780152,
0.0172557,2.22741 , 0.794054,
0.0179737,2.20572 , 0.805437,
0.0165134,2.18354 , 0.814451,
0.0180253,2.16087 , 0.821214,
0.0168943,2.13774 , 0.825801,
0.0190084,2.11418 , 0.828245,
0.0159184,2.09024 , 0.828552,
0.0169748,2.06603 , 0.826704,
0.0189173,2.04167 , 0.822681,
0.0175926,2.01732 , 0.81647,
0.0186934,1.99318 , 0.808073,
0.0164931,1.96943 , 0.797513,
0.0171762,1.94625 , 0.784828,
0.0169058,1.92379 , 0.77007,
0.0166274,1.90223 , 0.753304,
0.017044,1.88169 , 0.734607,
0.0202234,1.86229 , 0.714061,
0.017931,1.84414 , 0.691754,
0.0178946,1.82733 , 0.667779,
0.0149487,1.81192 , 0.642225,
0.0175061,1.79798 , 0.615182,
0.01716,1.78552 , 0.586734,
0.0192089,1.77459 , 0.556958,
0.0169688,1.76518 , 0.525927,
0.0179637,1.75732 , 0.493705,
0.017212,1.75097 , 0.460349,
0.0178426,1.74613 , 0.425915,
0.0195383,1.74274 , 0.390463,
0.0166055,1.74074 , 0.354049,
0.016525,1.74004 , 0.316721,
0.0159671,1.7405 , 0.278517,
0.0174981,1.74195 , 0.239476,
0.0175542,1.74417 , 0.19964,
0.0188858,1.74689 , 0.159063,
0.0187868,1.74977 , 0.117809,
0.0181103,1.75246 , 0.0759653,
0.0192743,1.75457 , 0.0336493,
0.0180268,1.75569 , -0.00898011,
0.0159765,1.75547 , -0.0517165,
0.0166557,1.75358 , -0.094307,
0.0166246,1.74977 , -0.136461,
0.0174811,1.74387 , -0.177865,
0.0175276,1.73578 , -0.2182,
0.0203366,1.72548 , -0.257161,
0.0211901,1.713 , -0.294469,
0.0173807,1.69843 , -0.329878,
0.0183724,1.68188 , -0.363204,
0.016897,1.66346 , -0.394313,
0.0180841,1.64327 , -0.423113,
0.0163135,1.62143 , -0.449548,
0.0167341,1.59805 , -0.473584,
0.0161963,1.57322 , -0.495202,
0.0159077,1.54706 , -0.514389,
0.0164005,1.5197 , -0.531134,
0.0154447,1.49128 , -0.545423,
0.0218537,1.46195 , -0.557243,
0.017675,1.43187 , -0.566574,
0.0195568,1.40121 , -0.573397,
0.0205037,1.37014 , -0.577689,
0.0161768,1.33888 , -0.579428,
0.0192265,1.30764 , -0.578603,
0.016986,1.27663 , -0.575214,
0.0173003,1.24611 , -0.569282,
0.0177899,1.21631 , -0.56085,
0.0175956,1.18746 , -0.549982,
0.0190881,1.15978 , -0.536768,
0.0199313,1.1335 , -0.521319,
0.020814,1.10881 , -0.503764,
0.0181583,1.08588 , -0.484251,
0.0162973,1.06486 , -0.462934,
0.018782,1.04588 , -0.439976,
0.017688,1.02905 , -0.415542,
0.0172034,1.01446 , -0.389804,
0.0171687,1.00216 , -0.362937,
0.0200347,0.992217 , -0.335112,
0.0172931,0.984651 , -0.306498,
0.0206499,0.979479 , -0.277258,
0.0189112,0.976698 , -0.247543,
0.0193137,0.976292 , -0.217493,
0.0167112,0.978231 , -0.187237,
0.0193249,0.982475 , -0.156885,
0.0184625,0.988973 , -0.12653,
0.0179002,0.997664 , -0.0962448,
0.0184375,1.00848 , -0.0660778,
0.017842,1.02135 , -0.0360522,
0.0171042,1.03618 , -0.00616174,
0.0180764,1.05289 , 0.0236324,
0.0181065,1.07137 , 0.0534047,
0.0189807,1.0915 , 0.0832651,
0.0169841,1.11311 , 0.113343,
0.0187589,1.13598 , 0.14377,
0.0166181,1.15983 , 0.17469,
0.0198854,1.18431 , 0.206253,
0.0183579,1.209 , 0.238606,
0.0195366,1.23347 , 0.271865,
0.0167664,1.25722 , 0.306094,
0.0165291,1.27977 , 0.341282,
0.0172555,1.30068 , 0.377336,
0.0185507,1.31954 , 0.41408,
0.0195259,1.33604 , 0.451274,
0.0207752,1.34994 , 0.488634,
0.016018,1.36109 , 0.525856,
0.0187455,1.36941 , 0.562644,
0.0172258,1.37487 , 0.598724,
0.0169725,1.37751 , 0.633864,
0.0181107,1.37738 , 0.667881,
0.018097,1.37456 , 0.700637,
0.0184261,1.36915 , 0.732032,
0.0179781,1.36124 , 0.762019,
0.0182548,1.35094 , 0.79059,
0.0187738,1.33832 , 0.81776,
0.0163135,1.3235 , 0.84355,
0.0175979,1.30655 , 0.867978,
0.016184,1.28758 , 0.89105,
0.0170787,1.26668 , 0.912751,
0.0150094,1.24395 , 0.933053,
0.0183245,1.21949 , 0.951917,
0.0162968,1.1934 , 0.969311,
0.0167344,1.16576 , 0.985206,
0.0161676,1.13667 , 0.999584,
0.0162765,1.10619 , 1.01244,
0.0162828,1.07439 , 1.02377,
0.0168429,1.04134 , 1.0336,
0.0179643,1.00708 , 1.04196,
0.0153405,0.97165 , 1.04889,
0.0182843,0.935082 , 1.05443,
0.0154051,0.897397 , 1.05865,
0.0189352,0.858607 , 1.0616,
0.0169716,0.818719 , 1.06336,
0.0168565,0.777732 , 1.064,
0.0160502,0.735653 , 1.06359,
